MEDX × ChainPulse Capital  ——  6 个月运营执行方案（总览 & OKR）,,,,
制作方：ChainPulse Capital 链动资本,,,日期：2026 Q2–Q3,
,,,,
阶段,目标（Objective）,关键结果（Key Results）,优先级,负责模块
Phase 1（M1-M2）冷启动 & 品牌建立,完成 MEDX 品牌全面包装及官媒矩阵搭建,"① 官方推特/TG/Discord/Medium/YouTube 5大账号正式上线并完成品牌包装
② GitBook 白皮书 + Pitch Deck 中英文版同步上线
③ 推特矩阵账号≥6个（主账号+CEO+各语区分账）
④ Discord 服务器完成频道架构搭建并引入 GalxeBot/Dyno 等工具机器人",P0,品牌/社媒
Phase 1（M1-M2）冷启动 & 品牌建立,社区冷启动——达成初始关注者基数,"① 推特粉丝 ≥10k
② TG 华语群 ≥3k 成员，英语群 ≥2k 成员
③ Discord 服务器成员 ≥5k
④ 完成首批50位华语 KOL 触达，签约20位",P0,社区/KOL
Phase 2（M3-M4）曝光爆发 & 用户增长,大规模 KOL 推广 + 媒体投放引爆品牌声量,"① 华语 KOL 合作 ≥30位（涵盖 Twitter 粉丝≥50k 级别）
② 海外 KOL 合作 ≥15位（英语/韩语/日语市场）
③ 头部媒体覆盖≥5家（星球日报、链捕手、Foresight、CoinDesk 等）
④ 每月 AMA/Space 活动≥6场",P0,KOL/PR
Phase 2（M3-M4）曝光爆发 & 用户增长,平台注册用户快速增长,"① 新注册用户 ≥50k
② 活跃交易用户 ≥10k
③ 推特粉丝 ≥50k
④ Galxe/Zealy 活动参与人数 ≥20k",P1,运营活动
Phase 3（M5-M6）生态建设 & 机构背书,建立完善的合作生态与机构背书体系,"① 签约 VC/做市商背书 ≥3家（YZi Labs、LD Capital 级别）
② Launchpad 合作 ≥2家（HoloWorld 等）
③ CEX 生态互通合作项目 ≥5个
④ 线下大会露出/参展 ≥2场（TOKEN2049/Korea Blockchain Week 等）",P0,BD/商务
Phase 3（M5-M6）生态建设 & 机构背书,规模化运营 & 数据里程碑冲刺,"① 总注册用户 ≥200k
② 7日活跃交易用户 ≥30k
③ CMC/CoinGecko 交易所排名冲击前100
④ 推特粉丝 ≥150k，社区总规模 ≥100k",P1,数据/增长
,,,,
核心 KPI 总表,,,,
KPI 指标,M1目标,M3目标,M6目标,备注
推特主账号粉丝,5k,50k,150k,含矩阵账号总量
TG 社区成员（全渠道合计）,5k,30k,80k,华语+英语+东南亚
Discord 成员数,2k,15k,50k,
累计注册用户,0,50k,200k,MEDX 平台
活跃 KOL 合作数,10,45,80,累计签约/宣发
媒体文章发布数,5,25,60,含软文/深度PR
AMA/Space 场次,2,20,50,月均累计
线下活动曝光,0,1,3,参展+主办
机构/VC 公开背书,0,2,5,
