MQE × ChainPulse Capital  ——  内容 & 文章规划,,,,,
,,,,,
【文章类别与选题规划】,,,,,
文章类别,目标媒体平台,语言,发布频次,典型选题方向,负责阶段
项目介绍/品牌故事,Medium / GitBook / 链捕手,中+英,M1×2篇,"MQE 是什么？为什么我们需要 MQE 这样的 CEX？",M1
行业深度报告,Foresight / HashOutput / The Block,中+英,M2-M6 每月1篇,"CEX 赛道新格局分析、流量战争白皮书",M2往后
技术解析文章,Medium / GitBook / 星球日报,中+英,每季度2篇,"MQE 核心技术架构解析、撮合引擎性能报告",M2-M5
产品功能介绍,Medium / 官推长推文,中+英,每月2篇,"新功能上线解说、使用教程图文指南",每月
市场热点蹭热文,Twitter 长文 / Medium 快讯,中+英,热点驱动（每周1篇）,"BTC突破、SEC事件、行业大新闻时蹭流量发声",持续
里程碑公告/进展,全媒体,中+英,按事件驱动,"用户突破1万/10万、合作官宣、上币公告等",按需
KOL 观点引用/联名,KOL账号 + 官方推文,中,M2-M6 每月4篇,"与 KOL 联合输出：XXX眼中的MQE、MQE最佳交易策略",M2往后
合作伙伴联名文章,合作方媒体 + 官网,中+英,M3-M6 每月2篇,"与 VC/Launchpad/生态项目联名发布",M3往后
AMA/Space 文字整理,Medium / 官方 Telegram,中+英,每场 AMA 后1篇,"AMA 精华问答总结上线，二次传播",持续
用户故事/UGC精选,Twitter + 官方 TG 频道,中+英,每月2篇,"真实用户使用 MQE 的故事",M3往后
季度运营复盘,Medium + 内部文档,中,每季度1篇,"增长数据、活动效果、下阶段规划",Q4 每季度末
,,,,,
【媒体投放清单（华语）】,,,,,
媒体名称,类型,受众,投放类型,预期效果,合作阶段
星球日报,头部中文加密媒体,华语 Web3 从业者与散户,深度专题/快讯投放,品牌权威性建立,M2+M5
链捕手,头部中文加密媒体,项目方/VC/中高端用户,深度文章+项目评测,精准触达行业人士,M1+M3
Foresight News,高端中文加密媒体,机构/VC/研究员,机构级深度报道,机构背书感建立,M3+M5
HashOutput,中文区块链媒体,华语社区用户,项目介绍+AMA报道,提升中文曝光,M1+M2
比推 Bitpush,综合加密媒体,中文投资用户,新闻快讯+合作公告,快速扩散新闻,M2+M4
深潮 TechFlow,深度中文媒体,研究型用户,技术分析文章,建立技术可信度,M3
金色财经,大众中文财经媒体,主流散户用户,市场热点曝光类,扩大大众知名度,M3+M6
火星财经,综合媒体,中文加密社区,项目动态+公告,长尾流量积累,M2+M4
,,,,,
【媒体投放清单（海外）】,,,,,
媒体名称,类型,语言/地区,投放类型,预期效果,合作阶段
CoinDesk,全球顶级加密媒体,英语/全球,新闻稿+专题,全球机构背书感,M4+M5
The Block,机构级媒体,英语/北美,深度报道,VC/机构信任度,M5
CoinTelegraph,全球主流加密媒体,英语/全球,新闻稿+产品介绍,全球用户覆盖,M3+M4
CryptoSlate,项目数据+新闻,英语/全球,项目评测+公告,精准加密用户,M3
U.Today,全球加密资讯,英语/全球,快讯投放,快速扩散,M2+M3
Blockmedia,韩国头部加密媒体,韩语/韩国,韩文项目介绍,打入韩国市场,M3+M4
UToday Korea,韩国加密媒体,韩语,韩文新闻稿,韩国用户覆盖,M4
Coinvestasi,东南亚媒体,印尼语,项目介绍,印尼市场扩张,M4
Techsauce,泰国科技媒体,泰语,项目新闻稿,泰国市场,M4
,,,,,
【内容日历（示例：M1 4月）】,,,,,
日期,内容类型,平台,语言,执行人,状态
Week 1,品牌上线公告推文,Twitter,中+英,社媒运营,计划中
Week 1,GitBook 白皮书上线公告,Twitter + Medium,中+英,文案+技术,计划中
Week 1,链捕手快讯投放（项目介绍）,链捕手,中,PR负责人,计划中
Week 2,CEO 个人账号首推（创始人故事）,Twitter,中,CEO/Eric,计划中
Week 2,Discord 服务器开放公告,Twitter + TG,中+英,社区运营,计划中
Week 3,首篇 Medium 深度文章,Medium,英文,文案,计划中
Week 3,Twitter Giveaway 活动启动,Twitter,中+英,活动运营,计划中
Week 4,AMA 第一场预热物料发布,Twitter + TG,中+英,活动+社媒,计划中
Week 4,Galxe 任务上线配合推文,Twitter + Galxe,中+英,增长运营,计划中
