序号,方向,内容,细则,价格
1,Twitter4个月  （一个大号（英文）配合一个中文社区小号运营）,账号搭建优化更新,大号购买粉丝账号40w+  小号购买粉丝5k-10k,14000u
,,粉丝新增,15天周周,
,,转评赞安排,每天条真人30+左右,
,,海外项目互动,加密行业趋势+NFT+crypto,
,,投票链接搭建,链接通道搭建,
,,内容运营,项目进展+利好正常配图,
2,"Telegram4个月英文官方大群10w+,中文资料小群3w+)聊天+频道",普通用户在线率,30%+，保持24小时秩序维护活跃,12000u
,,指定群搭建,100000人电报群搭建，布置智能机器人,
,,频道搭建,日常管理,
,,管理员同步素材内容,每天话题类文字500+sms,
,,海外项目合作引导,一周1-2次,
,,项目官方AMA,每月2-3次,
,,其他新增类运营活动,详见传播路线,
3,YouTube 4个月运营,中英玩法汇总视频+MG动画+项目生态动画+志愿者视频,MG 3000U 其他单条预计150u  总体30+视频,7500u
4,DC+LINK3+TASKON+gitbook+notion+medium 搭建  （一次性搭建+4个月软运营，重心TG）,,其他媒体资料辅助  2000u/月,8000u
5,上线前 小红书100+抖音100号轰炸预热（中文社群宣传）第三月-第四月,项目文章+PR,"文案加利好配套,营销号+视频号齐出 单次3000u 总计两次",6000u
6,项目前期链捕手2条+星球日报2条PR,,4条快讯,4000u
7,4个月币安直播6-8场,,单场600-800u PR置顶+空投,5000u
8,4个月ama活动30场+,,单场空投200-300u,6000u
9,专业数据交互,20名（中/英）黑奴,做GITHUB 程序员生态,5000u
,,对接数据空投规范,"潜在持币人数：
初始流通市值，FDV等数据：
空投规则和覆盖人群",
10,专业海外设计团队4个月,平台策划ppt/onepage,"日常物料输出，社区引导,设计2名+官网+中英物料",15000u
11,海外社区运营mod 5名 4个月,北美区，美国，加拿大,三城地区周期 单人单月500u,10000u
基础运营效果每个月,"推特账号数据，80条（其中包括项目合作，VC合作 BN直播，AMA  推特SPACE），
每条推文评论30左右，点赞100左右，观看5-15k view
单月组织推特AMA 5场+
空投活动2场
图片制作50张
YOUTUBE 视频号输出一周1-2视频讲解
tg1w人 ,在线1000人
tg水军每天200条消息",,,
老外事项,站台老外待定+目前创始人团队优化 ,,,
4个月总价全案包装      优惠价60000u,,,,92500u
